"Hash","string"
"mailCode20","DO NOT TRANSLATE"
"mailCode21","<title>Come to MOD Cape.</title>
<body>How is it going over there?
I want to tell you something...
Something is up with Kouta.
Honestly, I can't handle it...

I'm waiting for you at MOD Cape.
Come as quickly as you can!</body>"
"mailCode22","<title>Come back to town.</title>
<body>Yukimura had been lost to the BH
Program, just like Rikka...

But thanks to you, {0},
there was a happy ending.
I want to hold a debriefing meeting, so
please come over to my home.</body>"
"mailCode23","<title>Invite more Digimon to join us!</title>
<body>To locate the damaged part of the cable,
we need to collect some information.

If you bring more Digimon to the town,
we'll be able to get what we need.
Good luck!</body>
"
"mailCode24","<title>Come back to town.</title>
<body>You've been doing good work!
We have enough now to narrow down where
exactly the cable is damaged.

Can you come to Jijimon's house to take
a look at what we've discovered?</body>"
"mailCode25","<title>Go to Faulty Ex Machina!</title>
​<body>The section of cable which needs repair
​is on the east shore of Faulty Ex
​Machina you can get there through the MOD
​Ship 3.0.</body>"
"mailCode26","<title>Come back to town.</title>
<body>It looks like you've completed the
repair. Good work!

Be careful on the way home!</body>"
"mailCode27","<title>Look for Datamon!</title>
<body>We need Datamon's help to complete the
antivirus program.

I think Datamon is in Nigh Plains, but
Yuramon in the town knows more about
Datamon's precise location.</body>"
"mailCode28","<title>See you in town?</title>
<body>Datamon seems all right.
I'll be waiting for your return.
Be careful out there!</body>"
"mailCode29","<title>Go to Server Tower.</title>
<body>We have to stop the enemy at Server
Tower before they get even stronger!

Server Tower is southwest of the Server
Graveyard.

Leave town and go west, west, southwest,
south and west. Be careful!</body>"
"mailCode30","<title>Invite more Digimon!</title>
<body>We need the help of even more residents
to raise Floatia.

The only one who can help us is you.
You can take on the BH Program.

We're counting on you!</body>"
"mailCode31","<title>Come back to town.</title>
<body>Thanks to you, {0}, we have
got what we need to levitate Floatia!

Everyone is so excited to see Floatia up in
the sky!
Come back safely!</body>"
"mailCode32","<title>The town is floating!</title>
<body>I can't believe we got attacked at the
worst possible moment...

But at least we levitated the town.
To come back, use the phone booth.</body>"
"mailCode33","<title>Waiting at Nigh Plains...</title>
<body>If you get this... Come to the Vast
Plateau on Nigh Plains...</body>"
"mailCode34","<title>Come to Bony Resort.</title>
<body>You just need to set the trap
properly... But you need to set it up on
the top of the mountain of Bony Resort
to the west of Ohguino Wastelands
in the Pink Stone House.

It's a long journey so make sure you're
well prepared.</body>"
"mailCode35","<title>Invite more Digimon!</title>
<body>We're not developed enough in Floatia
for Reincarnation to be possible.
It goes without saying that Floatia
relies on the Digimon.

So for further development, we need the
help of even more Digimon!</body>"
"mailCode36","<title>Come back to town!</title>
<body>Luche has finished her analysis.
Come to Jijimon's house to find out
more!</body>"
"mailCode37","<title>Invite more Digimon!</title>
<body>Luche was a Digimon all along...
I really can't believe it...
But Luche never committed a crime.
Tsuzuki was in the wrong. 

It is Tsuzuki who we really need to stop!
And that's why we need more residents!</body>"
"mailCode38","<title>Come back to town!</title>
<body>The groundwork is finished.
Now I need to tell you something
important about the Reincarnation.

Can you come over to Jijimon's house so
we can go over it?</body>"
"mailCode39","<title>This is the final battle!</title>
<body>Now is our crucial test!
You can get to the Singular Zone from
Ruins Lake in Nigh Plains!

This will be the very final battle.
Make sure that your Digimon are ready!
We're all counting on you!</body>"
"mailCode40","<title>To Infinite Cauldron!</title>
<body>He must be at Infinite Cauldron!
Make sure you're ready for anything!</body>"
"mailCode41","<title>Keep going!</title>
<body>He's run even farther than we thought.
Keep going! We can't lose him now!</body>"
"mailCode42","<title>To the Dimensional District!</title>
<body>We're picking up his signal in the
Dimensional District.
This time, you can defeat him!
Make sure you're ready!</body>"
"mailCode43","<title>Thank you!</title>
<body>We'd never have defeated him without
you. You never fail to impress.
But you've always been the strong one...
Thank you, {0}.</body>"
"mailCode44","<title>Is the population growing?</title>
<body>I have something regarding Floatia I need to
talk to you about.

When you have a moment, please come to
my house.
</body>"
"mailCode45","<title>Ask Botamon</title>
<body>Is your Digimon search going well? I've
picked up lots of information about
Digimon, and asked the Botamon in my
house to pass it on to you. If you need
any help, go talk to him!</body>"
"mailCode46","DO NOT TRANSLATE"
"mailCode47","DO NOT TRANSLATE"
"mailCode48","DO NOT TRANSLATE"
"mailCode49","DO NOT TRANSLATE"
"mailCode50","DO NOT TRANSLATE"
"mailCode51","DO NOT TRANSLATE"
"mailCode52","DO NOT TRANSLATE"
"mailCode53","DO NOT TRANSLATE"
"mailCode54","DO NOT TRANSLATE"
"mailCode55","DO NOT TRANSLATE"
"mailCode56","DO NOT TRANSLATE"
"mailCode57","DO NOT TRANSLATE"
"mailCode58","DO NOT TRANSLATE"
"mailCode59","DO NOT TRANSLATE"
"mailCode60","DO NOT TRANSLATE"
"mailCode61","DO NOT TRANSLATE"
"mailCode62","DO NOT TRANSLATE"
"mailCode63","DO NOT TRANSLATE"
"mailCode64","DO NOT TRANSLATE"
"mailCode65","DO NOT TRANSLATE"
"mailCode66","DO NOT TRANSLATE"
"mailCode67","DO NOT TRANSLATE"
"mailCode68","DO NOT TRANSLATE"
"mailCode69","DO NOT TRANSLATE"
"mailCode70","DO NOT TRANSLATE"
"mailCode71","DO NOT TRANSLATE"
"mailCode72","DO NOT TRANSLATE"
"mailCode73","DO NOT TRANSLATE"
"mailCode74","DO NOT TRANSLATE"
"mailCode75","DO NOT TRANSLATE"
"mailCode76","DO NOT TRANSLATE"
"mailCode77","DO NOT TRANSLATE"
"mailCode78","DO NOT TRANSLATE"
"mailCode79","DO NOT TRANSLATE"
"mailCode80","DO NOT TRANSLATE"
"mailCode81","DO NOT TRANSLATE"
"mailCode82","DO NOT TRANSLATE"
"mailCode83","DO NOT TRANSLATE"
"mailCode84","DO NOT TRANSLATE"
"mailCode85","DO NOT TRANSLATE"
"mailCode86","DO NOT TRANSLATE"
"mailCode87","DO NOT TRANSLATE"
"mailCode88","DO NOT TRANSLATE"
"mailCode89","DO NOT TRANSLATE"
"mailCode90","DO NOT TRANSLATE"
"mailCode91","DO NOT TRANSLATE"
"mailCode92","DO NOT TRANSLATE"
"mailCode93","DO NOT TRANSLATE"
"mailCode94","DO NOT TRANSLATE"
"mailCode95","DO NOT TRANSLATE"
"mailCode96","DO NOT TRANSLATE"
"mailCode97","DO NOT TRANSLATE"
"mailCode98","DO NOT TRANSLATE"
"mailCode99","DO NOT TRANSLATE"
"mailCode100","DO NOT TRANSLATE"
"mailCode101","DO NOT TRANSLATE"
"mailCode102","DO NOT TRANSLATE"
"mailCode103","DO NOT TRANSLATE"
"mailCode104","DO NOT TRANSLATE"
"mailCode105","DO NOT TRANSLATE"
"mailCode106","DO NOT TRANSLATE"
"mailCode107","DO NOT TRANSLATE"
"mailCode108","DO NOT TRANSLATE"
"mailCode109","DO NOT TRANSLATE"
"mailCode110","DO NOT TRANSLATE"
"mailCode111","DO NOT TRANSLATE"
"mailCode112","DO NOT TRANSLATE"
"mailCode113","DO NOT TRANSLATE"
"mailCode114","DO NOT TRANSLATE"
"mailCode115","DO NOT TRANSLATE"
"mailCode116","DO NOT TRANSLATE"
"mailCode117","DO NOT TRANSLATE"
"mailCode118","DO NOT TRANSLATE"
"mailCode119","DO NOT TRANSLATE"
"mailCode120","DO NOT TRANSLATE"
"mailCode121","DO NOT TRANSLATE"
"mailCode122","DO NOT TRANSLATE"
"mailCode123","DO NOT TRANSLATE"
"mailCode124","DO NOT TRANSLATE"
"mailCode125","DO NOT TRANSLATE"
"mailCode126","DO NOT TRANSLATE"
"mailCode127","DO NOT TRANSLATE"
"mailCode128","DO NOT TRANSLATE"
"mailCode129","DO NOT TRANSLATE"
"mailCode130","DO NOT TRANSLATE"
"mailCode131","DO NOT TRANSLATE"
"mailCode132","DO NOT TRANSLATE"
"mailCode133","DO NOT TRANSLATE"
"mailCode134","DO NOT TRANSLATE"
"mailCode135","DO NOT TRANSLATE"
"mailCode136","DO NOT TRANSLATE"
"mailCode137","DO NOT TRANSLATE"
"mailCode138","DO NOT TRANSLATE"
"mailCode139","DO NOT TRANSLATE"
"mailCode140","DO NOT TRANSLATE"
"mailCode141","DO NOT TRANSLATE"
"mailCode142","DO NOT TRANSLATE"
"mailCode143","DO NOT TRANSLATE"
"mailCode144","DO NOT TRANSLATE"
"mailCode145","DO NOT TRANSLATE"
"mailCode146","DO NOT TRANSLATE"
"mailCode147","DO NOT TRANSLATE"
"mailCode148","DO NOT TRANSLATE"
"mailCode149","DO NOT TRANSLATE"
"mailCode150","DO NOT TRANSLATE"
"mailCode151","DO NOT TRANSLATE"
"mailCode152","DO NOT TRANSLATE"
"mailCode153","DO NOT TRANSLATE"
"mailCode154","DO NOT TRANSLATE"
"mailCode155","DO NOT TRANSLATE"
"mailCode156","DO NOT TRANSLATE"
"mailCode157","DO NOT TRANSLATE"
"mailCode158","DO NOT TRANSLATE"
"mailCode159","DO NOT TRANSLATE"
"mailCode160","DO NOT TRANSLATE"
"mailCode161","DO NOT TRANSLATE"
"mailCode162","DO NOT TRANSLATE"
"mailCode163","DO NOT TRANSLATE"
"mailCode164","DO NOT TRANSLATE"
"mailCode165","DO NOT TRANSLATE"
"mailCode166","DO NOT TRANSLATE"
"mailCode167","DO NOT TRANSLATE"
"mailCode168","DO NOT TRANSLATE"
"mailCode169","DO NOT TRANSLATE"
"mailCode170","DO NOT TRANSLATE"
"mailCode171","DO NOT TRANSLATE"
"mailCode172","DO NOT TRANSLATE"
"mailCode173","DO NOT TRANSLATE"
"mailCode174","DO NOT TRANSLATE"
"mailCode175","DO NOT TRANSLATE"
"mailCode176","DO NOT TRANSLATE"
"mailCode177","DO NOT TRANSLATE"
"mailCode178","DO NOT TRANSLATE"
"mailCode179","DO NOT TRANSLATE"
"mailCode180","DO NOT TRANSLATE"
"mailCode181","DO NOT TRANSLATE"
"mailCode182","DO NOT TRANSLATE"
"mailCode183","DO NOT TRANSLATE"
"mailCode184","DO NOT TRANSLATE"
"mailCode185","DO NOT TRANSLATE"
"mailCode186","DO NOT TRANSLATE"
"mailCode187","DO NOT TRANSLATE"
"mailCode188","DO NOT TRANSLATE"
"mailCode189","DO NOT TRANSLATE"
"mailCode190","DO NOT TRANSLATE"
"mailCode191","DO NOT TRANSLATE"
"mailCode192","DO NOT TRANSLATE"
"mailCode193","DO NOT TRANSLATE"
"mailCode194","DO NOT TRANSLATE"
"mailCode195","DO NOT TRANSLATE"
"mailCode196","DO NOT TRANSLATE"
"mailCode197","DO NOT TRANSLATE"
"mailCode198","DO NOT TRANSLATE"
"mailCode199","DO NOT TRANSLATE"
"mailCode200","DO NOT TRANSLATE"
"mailCode201","DO NOT TRANSLATE"
"mailCode202","DO NOT TRANSLATE"
"mailCode203","DO NOT TRANSLATE"
"mailCode204","DO NOT TRANSLATE"
"mailCode205","DO NOT TRANSLATE"
"mailCode206","DO NOT TRANSLATE"
"mailCode207","DO NOT TRANSLATE"
"mailCode208","DO NOT TRANSLATE"
"mailCode209","DO NOT TRANSLATE"
"mailCode210","DO NOT TRANSLATE"
"mailCode211","DO NOT TRANSLATE"
"mailCode212","DO NOT TRANSLATE"
"mailCode213","DO NOT TRANSLATE"
"mailCode214","DO NOT TRANSLATE"
"mailCode215","DO NOT TRANSLATE"
"mailCode216","DO NOT TRANSLATE"
"mailCode217","DO NOT TRANSLATE"
"mailCode218","DO NOT TRANSLATE"
"mailCode219","DO NOT TRANSLATE"
"mailCode220","DO NOT TRANSLATE"
"mailCode221","DO NOT TRANSLATE"
"mailCode222","DO NOT TRANSLATE"
"mailCode223","DO NOT TRANSLATE"
"mailCode224","DO NOT TRANSLATE"
"mailCode225","DO NOT TRANSLATE"
"mailCode226","DO NOT TRANSLATE"
"mailCode227","DO NOT TRANSLATE"
"mailCode228","DO NOT TRANSLATE"
"mailCode229","DO NOT TRANSLATE"
"mailCode230","DO NOT TRANSLATE"
"mailCode231","DO NOT TRANSLATE"
"mailCode232","DO NOT TRANSLATE"
"mailCode233","DO NOT TRANSLATE"
"mailCode234","DO NOT TRANSLATE"
"mailCode235","DO NOT TRANSLATE"
"mailCode236","DO NOT TRANSLATE"
"mailCode237","DO NOT TRANSLATE"
"mailCode238","DO NOT TRANSLATE"
"mailCode239","DO NOT TRANSLATE"
"mailCode240","DO NOT TRANSLATE"
"mailCode241","DO NOT TRANSLATE"
"mailCode242","DO NOT TRANSLATE"
"mailCode243","DO NOT TRANSLATE"
"mailCode244","DO NOT TRANSLATE"
"mailCode245","DO NOT TRANSLATE"
"mailCode246","DO NOT TRANSLATE"
"mailCode247","DO NOT TRANSLATE"
"mailCode248","DO NOT TRANSLATE"
"mailCode249","DO NOT TRANSLATE"
"mailCode250","DO NOT TRANSLATE"
"mailCode251","DO NOT TRANSLATE"
"mailCode252","DO NOT TRANSLATE"
"mailCode253","DO NOT TRANSLATE"
"mailCode254","DO NOT TRANSLATE"
"mailCode255","DO NOT TRANSLATE"
"mailCode256","DO NOT TRANSLATE"
"mailCode257","DO NOT TRANSLATE"
"mailCode258","DO NOT TRANSLATE"
"mailCode259","DO NOT TRANSLATE"
"mailCode260","DO NOT TRANSLATE"
"mailCode261","DO NOT TRANSLATE"
"mailCode262","DO NOT TRANSLATE"
"mailCode263","DO NOT TRANSLATE"
"mailCode264","DO NOT TRANSLATE"
"mailCode265","DO NOT TRANSLATE"
"mailCode266","DO NOT TRANSLATE"
"mailCode267","DO NOT TRANSLATE"
"mailCode268","DO NOT TRANSLATE"
"mailCode269","DO NOT TRANSLATE"
"mailCode270","DO NOT TRANSLATE"
"mailCode271","DO NOT TRANSLATE"
"mailCode272","DO NOT TRANSLATE"
"mailCode273","DO NOT TRANSLATE"
"mailCode274","DO NOT TRANSLATE"
"mailCode275","DO NOT TRANSLATE"
"mailCode276","DO NOT TRANSLATE"
"mailCode277","DO NOT TRANSLATE"
"mailCode278","DO NOT TRANSLATE"
"mailCode279","DO NOT TRANSLATE"
"mailCode280","DO NOT TRANSLATE"
"mailCode281","DO NOT TRANSLATE"
"mailCode282","DO NOT TRANSLATE"
"mailCode283","DO NOT TRANSLATE"
"mailCode284","DO NOT TRANSLATE"
"mailCode285","DO NOT TRANSLATE"
"mailCode286","DO NOT TRANSLATE"
"mailCode287","DO NOT TRANSLATE"
"mailCode288","DO NOT TRANSLATE"
"mailCode289","DO NOT TRANSLATE"
"mailCode290","DO NOT TRANSLATE"
"mailCode291","DO NOT TRANSLATE"
"mailCode292","DO NOT TRANSLATE"
"mailCode293","DO NOT TRANSLATE"
"mailCode294","DO NOT TRANSLATE"
"mailCode295","DO NOT TRANSLATE"
"mailCode296","DO NOT TRANSLATE"
"mailCode297","DO NOT TRANSLATE"
"mailCode298","DO NOT TRANSLATE"
"mailCode299","DO NOT TRANSLATE"
"mailCode300","DO NOT TRANSLATE"
"mailCode301","DO NOT TRANSLATE"
"mailCode302","DO NOT TRANSLATE"
"mailCode303","DO NOT TRANSLATE"
"mailCode304","DO NOT TRANSLATE"
"mailCode305","DO NOT TRANSLATE"
"mailCode306","DO NOT TRANSLATE"
"mailCode307","DO NOT TRANSLATE"
"mailCode308","DO NOT TRANSLATE"
"mailCode309","DO NOT TRANSLATE"
"mailCode310","DO NOT TRANSLATE"
"mailCode311","DO NOT TRANSLATE"
"mailCode312","DO NOT TRANSLATE"
"mailCode313","DO NOT TRANSLATE"
"mailCode314","DO NOT TRANSLATE"
"mailCode315","DO NOT TRANSLATE"
"mailCode316","DO NOT TRANSLATE"
"mailCode317","DO NOT TRANSLATE"
"mailCode318","DO NOT TRANSLATE"
"mailCode319","DO NOT TRANSLATE"
"mailCode320","DO NOT TRANSLATE"
"mailCode321","DO NOT TRANSLATE"
"mailCode322","DO NOT TRANSLATE"
"mailCode323","DO NOT TRANSLATE"
"mailCode324","DO NOT TRANSLATE"
"mailCode325","DO NOT TRANSLATE"
"mailCode326","DO NOT TRANSLATE"
"mailCode327","DO NOT TRANSLATE"
"mailCode328","DO NOT TRANSLATE"
"mailCode329","DO NOT TRANSLATE"
"mailCode330","DO NOT TRANSLATE"
"mailCode331","DO NOT TRANSLATE"
"mailCode332","DO NOT TRANSLATE"
"mailCode333","DO NOT TRANSLATE"
"mailCode334","DO NOT TRANSLATE"
"mailCode335","DO NOT TRANSLATE"
"mailCode336","DO NOT TRANSLATE"
"mailCode337","DO NOT TRANSLATE"
"mailCode338","DO NOT TRANSLATE"
"mailCode339","DO NOT TRANSLATE"
"mailCode340","DO NOT TRANSLATE"
"mailCode341","DO NOT TRANSLATE"
"mailCode342","DO NOT TRANSLATE"
"mailCode343","DO NOT TRANSLATE"
"mailCode344","DO NOT TRANSLATE"
"mailCode345","DO NOT TRANSLATE"
"mailCode346","DO NOT TRANSLATE"
"mailCode347","DO NOT TRANSLATE"
"mailCode348","DO NOT TRANSLATE"
"mailCode349","DO NOT TRANSLATE"
"mailCode350","DO NOT TRANSLATE"
"mailCode351","DO NOT TRANSLATE"
"mailCode352","DO NOT TRANSLATE"
"mailCode353","DO NOT TRANSLATE"
"mailCode354","DO NOT TRANSLATE"
"mailCode355","DO NOT TRANSLATE"
"mailCode356","DO NOT TRANSLATE"
"mailCode357","DO NOT TRANSLATE"
"mailCode358","DO NOT TRANSLATE"
"mailCode359","DO NOT TRANSLATE"
"mailCode360","DO NOT TRANSLATE"
"mailCode361","DO NOT TRANSLATE"
"mailCode362","DO NOT TRANSLATE"
"mailCode363","DO NOT TRANSLATE"
"mailCode364","DO NOT TRANSLATE"
"mailCode365","DO NOT TRANSLATE"
"mailCode366","DO NOT TRANSLATE"
"mailCode367","DO NOT TRANSLATE"
"mailCode368","DO NOT TRANSLATE"
"mailCode369","DO NOT TRANSLATE"
"mailCode370","DO NOT TRANSLATE"
"mailCode371","DO NOT TRANSLATE"
"mailCode372","DO NOT TRANSLATE"
"mailCode373","DO NOT TRANSLATE"
"mailCode374","DO NOT TRANSLATE"
"mailCode375","DO NOT TRANSLATE"
"mailCode376","DO NOT TRANSLATE"
"mailCode377","DO NOT TRANSLATE"
"mailCode378","DO NOT TRANSLATE"
"mailCode379","DO NOT TRANSLATE"
"mailCode380","DO NOT TRANSLATE"
"mailCode381","DO NOT TRANSLATE"
"mailCode382","DO NOT TRANSLATE"
"mailCode383","DO NOT TRANSLATE"
"mailCode384","DO NOT TRANSLATE"
"mailCode385","DO NOT TRANSLATE"
"mailCode386","DO NOT TRANSLATE"
"mailCode387","DO NOT TRANSLATE"
"mailCode388","DO NOT TRANSLATE"
"mailCode389","DO NOT TRANSLATE"
"mailCode390","DO NOT TRANSLATE"
"mailCode391","DO NOT TRANSLATE"
"mailCode392","DO NOT TRANSLATE"
"mailCode393","DO NOT TRANSLATE"
"mailCode394","DO NOT TRANSLATE"
"mailCode395","DO NOT TRANSLATE"
"mailCode396","DO NOT TRANSLATE"
"mailCode397","DO NOT TRANSLATE"
"mailCode398","DO NOT TRANSLATE"
"mailCode399","DO NOT TRANSLATE"
"mailCode400","DO NOT TRANSLATE"
"mailCode401","DO NOT TRANSLATE"
"mailCode402","DO NOT TRANSLATE"
"mailCode403","DO NOT TRANSLATE"
"mailCode404","DO NOT TRANSLATE"
"mailCode405","DO NOT TRANSLATE"
"mailCode406","DO NOT TRANSLATE"
"mailCode407","DO NOT TRANSLATE"
"mailCode408","DO NOT TRANSLATE"
"mailCode409","DO NOT TRANSLATE"
"mailCode410","DO NOT TRANSLATE"
"mailCode411","DO NOT TRANSLATE"
"mailCode412","DO NOT TRANSLATE"
"mailCode413","DO NOT TRANSLATE"
"mailCode414","DO NOT TRANSLATE"
"mailCode415","DO NOT TRANSLATE"
"mailCode416","DO NOT TRANSLATE"
"mailCode417","DO NOT TRANSLATE"
"mailCode418","DO NOT TRANSLATE"
"mailCode419","DO NOT TRANSLATE"
"mailCode420","DO NOT TRANSLATE"
"mailCode421","DO NOT TRANSLATE"
"mailCode422","DO NOT TRANSLATE"
"mailCode423","DO NOT TRANSLATE"
"mailCode424","DO NOT TRANSLATE"
"mailCode425","DO NOT TRANSLATE"
"mailCode426","DO NOT TRANSLATE"
"mailCode427","DO NOT TRANSLATE"
"mailCode428","DO NOT TRANSLATE"
"mailCode429","DO NOT TRANSLATE"
"mailCode430","DO NOT TRANSLATE"
"mailCode431","DO NOT TRANSLATE"
"mailCode432","DO NOT TRANSLATE"
"mailCode433","DO NOT TRANSLATE"
"mailCode434","DO NOT TRANSLATE"
"mailCode435","DO NOT TRANSLATE"
"mailCode436","DO NOT TRANSLATE"
"mailCode437","DO NOT TRANSLATE"
"mailCode438","DO NOT TRANSLATE"
"mailCode439","DO NOT TRANSLATE"
"mailCode440","DO NOT TRANSLATE"
"mailCode441","DO NOT TRANSLATE"
"mailCode442","DO NOT TRANSLATE"
"mailCode443","DO NOT TRANSLATE"
"mailCode444","DO NOT TRANSLATE"
"mailCode445","DO NOT TRANSLATE"
"mailCode446","DO NOT TRANSLATE"
"mailCode447","DO NOT TRANSLATE"
"mailCode448","DO NOT TRANSLATE"
"mailCode449","DO NOT TRANSLATE"
"mailCode450","DO NOT TRANSLATE"
"mailCode451","DO NOT TRANSLATE"
"mailCode452","DO NOT TRANSLATE"
"mailCode453","DO NOT TRANSLATE"
"mailCode454","DO NOT TRANSLATE"
"mailCode455","DO NOT TRANSLATE"
"mailCode456","DO NOT TRANSLATE"
"mailCode457","DO NOT TRANSLATE"
"mailCode458","DO NOT TRANSLATE"
"mailCode459","DO NOT TRANSLATE"
"mailCode460","DO NOT TRANSLATE"
"mailCode461","DO NOT TRANSLATE"
"mailCode462","DO NOT TRANSLATE"
"mailCode463","DO NOT TRANSLATE"
"mailCode464","DO NOT TRANSLATE"
"mailCode465","DO NOT TRANSLATE"
"mailCode466","DO NOT TRANSLATE"
"mailCode467","DO NOT TRANSLATE"
"mailCode468","DO NOT TRANSLATE"
"mailCode469","DO NOT TRANSLATE"
"mailCode470","DO NOT TRANSLATE"
"mailCode471","DO NOT TRANSLATE"
"mailCode472","DO NOT TRANSLATE"
"mailCode473","DO NOT TRANSLATE"
"mailCode474","DO NOT TRANSLATE"
"mailCode475","DO NOT TRANSLATE"
"mailCode476","DO NOT TRANSLATE"
"mailCode477","DO NOT TRANSLATE"
"mailCode478","DO NOT TRANSLATE"
"mailCode479","DO NOT TRANSLATE"
"mailCode480","DO NOT TRANSLATE"
"mailCode481","DO NOT TRANSLATE"
"mailCode482","DO NOT TRANSLATE"
"mailCode483","DO NOT TRANSLATE"
"mailCode484","DO NOT TRANSLATE"
"mailCode485","DO NOT TRANSLATE"
"mailCode486","DO NOT TRANSLATE"
"mailCode487","DO NOT TRANSLATE"
"mailCode488","DO NOT TRANSLATE"
"mailCode489","DO NOT TRANSLATE"
"mailCode490","DO NOT TRANSLATE"
"mailCode491","DO NOT TRANSLATE"
"mailCode492","DO NOT TRANSLATE"
"mailCode493","DO NOT TRANSLATE"
"mailCode494","DO NOT TRANSLATE"
"mailCode495","DO NOT TRANSLATE"
"mailCode496","DO NOT TRANSLATE"
"mailCode497","DO NOT TRANSLATE"
"mailCode498","DO NOT TRANSLATE"
"mailCode499","DO NOT TRANSLATE"
"mailCode500","<title>Going back to town...</title>
<body>I'm going back to town to see what I can
do there.
{0}, keep trying your best, too!</body>"
"mailCode501","DO NOT TRANSLATE"
"mailCode502","DO NOT TRANSLATE"
"mailCode503","<title>I want to fly in the sky!</title>
<body>There must be a Digimon who can
teach me! I need you to find that
Digimon!

If I could meet them in town, that would be great!</body>"
"mailCode504","DO NOT TRANSLATE"
"mailCode505","DO NOT TRANSLATE"
"mailCode506","<title>A stick...</title>
<body>I need a stick that I can use as a
fishing rod...
Looking forward to it!</body>"
"mailCode507","DO NOT TRANSLATE"
"mailCode508","DO NOT TRANSLATE"
"mailCode509","<title>Delicious meat...</title>
<body>Don't forget:
Cheerful Apple, Digistalk, 
and Salty Fruit!</body>"
"mailCode510","DO NOT TRANSLATE"
"mailCode511","DO NOT TRANSLATE"
"mailCode512","DO NOT TRANSLATE"
"mailCode513","DO NOT TRANSLATE"
"mailCode514","DO NOT TRANSLATE"
"mailCode515","<title>Please!</title>
<body>Digicarp!
I don't need anything else.
Looking forward to good news...</body>"
"mailCode516","DO NOT TRANSLATE"
"mailCode517","DO NOT TRANSLATE"
"mailCode518","<title>I'm hungry...</title>
<body>I'm really starving!
Please... Find me...
five Green Digistalks...</body>"
"mailCode519","DO NOT TRANSLATE"
"mailCode520","DO NOT TRANSLATE"
"mailCode521","DO NOT TRANSLATE"
"mailCode522","DO NOT TRANSLATE"
"mailCode523","DO NOT TRANSLATE"
